id,name,age,language,experience,salary,phone
1,Gregg,24,php,1,62000,8948
2,Clinton,29,python,6,102000,7585
3,Johnnie,22,javascript,1,59000,7993
4,Jack,25,java,4,79000,8311
5,Reese,25,ruby,4,76000,7629
6,Forrest,24,php,1,58000,9379
7,Gunnar,29,nodejs,6,100000,8421
8,Ryder,24,javascript,1,63000,7691
9,Luther,27,php,5,83000,7512
10,Desmond,25,java,2,66000,7361
11,Amir,22,java,1,62000,8624
12,Jody,27,nodejs,4,79000,8671
13,Blake,28,python,6,96000,8126
14,Leroy,24,ruby,2,68000,7261
15,Lawson,26,javascript,3,71000,8902
16,Ariel,25,nodejs,3,72000,9477
17,Rafael,27,nodejs,6,101000,7233
18,Darin,28,python,5,91000,9641
19,Alfredo,23,javascript,2,65000,8033
20,Asa,26,ruby,4,81000,7331
21,Braiden,22,nodejs,1,60000,7064
22,Preston,24,python,3,70000,8468
23,Bryon,26,nodejs,4,77000,7075
24,Jarrett,26,nodejs,5,82000,7368
25,Clifford,27,php,4,80000,7384
26,Kenyon,26,java,3,71000,8857
27,Mitchell,22,javascript,1,63000,7297
28,Derek,26,nodejs,3,72000,9109
29,Tyrone,26,ruby,3,71000,9604
30,Jovan,25,ruby,3,74000,9934
31,Francisco,28,python,5,87000,8437
32,Damian,25,javascript,2,68000,7822
33,Derrick,27,python,5,92000,8065
34,Shaun,27,javascript,5,89000,7681
35,Joesph,26,javascript,3,71000,9983
36,Donovan,24,nodejs,2,65000,7697
37,Morris,27,javascript,6,102000,7439
38,Isiah,25,python,4,79000,9622
39,Deon,26,javascript,4,78000,7939
40,Keagan,24,java,3,72000,8414
41,Adriel,22,java,1,62000,7762
42,Casey,22,nodejs,1,60000,8409
43,Conner,26,nodejs,5,88000,7399
44,Garret,24,php,3,74000,7536
45,Lincoln,26,ruby,4,76000,8669
46,Sheldon,26,nodejs,3,71000,7372
47,Louis,26,javascript,4,79000,8270
48,Carlos,25,java,2,66000,8951
49,Wendell,25,javascript,3,74000,9193
