id,name,age,language,experience,salary,phone
1,Melvin,26,tensorflow,4,97000,8288
2,Ignacio,23,numpy,1,79000,7657
3,Kaleb,22,matplotlib,1,76000,8777
4,Jimmy,27,numpy,5,103000,8175
5,Shane,24,numpy,3,90000,7346
6,Deandre,22,keras,1,76000,7892
7,Hunter,29,matplotlib,6,118000,9164
8,Dennis,22,pandas,1,80000,9069
9,Devin,25,scipy,3,90000,8427
10,Antwan,23,matplotlib,1,77000,8785
11,Noel,27,pandas,4,97000,7775
12,Mateo,24,numpy,1,79000,7104
13,Austin,23,matplotlib,2,84000,9921
14,Luca,26,matplotlib,5,106000,7954
15,Gilbert,28,numpy,5,107000,8051
16,Darrius,22,tensorflow,1,75000,9412
17,Tim,22,tensorflow,1,78000,9641
18,Addison,26,numpy,3,88000,7906
19,Samuel,25,numpy,3,87000,7361
20,Jaylin,25,scipy,3,85000,8685
21,Brent,28,pandas,5,106000,8782
22,Jorge,26,keras,4,97000,8603
23,Brooks,26,tensorflow,3,89000,8865
24,Steven,25,pandas,2,82000,7563
25,Jason,26,keras,5,102000,9187
26,Julius,23,pandas,2,82000,9632
27,Dangelo,25,numpy,3,92000,9609
28,Dillon,25,numpy,3,91000,7678
29,Kason,24,numpy,2,84000,7883
30,Darwin,23,keras,2,83000,7425
31,Ellis,23,tensorflow,2,83000,7214
32,Nelson,25,numpy,2,84000,7918
33,Jasper,25,numpy,4,93000,9697
34,Joe,24,keras,2,84000,8564
35,Arthur,28,matplotlib,5,103000,8390
36,Matteo,26,tensorflow,4,98000,8273
37,Cameron,29,numpy,6,125000,7611
38,Duncan,26,matplotlib,5,105000,7566
39,Arjun,25,tensorflow,2,84000,7287
40,Sam,27,tensorflow,5,104000,9209
41,Charles,28,numpy,5,107000,9873
42,Dion,23,keras,2,83000,9970
43,Emanuel,25,pandas,4,94000,8874
44,Houston,24,tensorflow,1,80000,9202
45,Alvaro,25,numpy,2,84000,9054
46,Chance,29,numpy,6,121000,7237
47,Issac,27,scipy,5,109000,9037
48,Guadalupe,24,keras,1,76000,9764
49,Tyron,22,matplotlib,1,81000,9936
50,Alan,23,pandas,1,78000,9195
51,Kane,28,numpy,6,120000,8243
52,Pedro,26,scipy,4,93000,9435
53,Frankie,25,numpy,4,99000,8015
54,Todd,22,matplotlib,1,78000,8915
55,Donnie,25,keras,2,82000,7896
56,Iker,27,scipy,4,94000,7111
57,Deon,26,pandas,3,92000,9656
58,Gene,25,pandas,2,84000,7351
